category,name,prototype,line_start,line_end,仕様要約,Rust 対応先
specialized derivative API,xc_mgga_exc_vxc,"void xc_mgga_exc_vxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *zk, double *vrho, double *vsigma, double *vlapl, double *vtau);",456,458,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_vxc,"void xc_lda_vxc (const xc_func_type *p, size_t np, const double *rho, double *vrho);",461,461,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_vxc,"void xc_gga_vxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *vrho, double *vsigma);",463,464,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_vxc,"void xc_mgga_vxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *vrho, double *vsigma, double *vlapl, double *vtau);",466,468,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_exc_vxc_fxc,"void xc_lda_exc_vxc_fxc (const xc_func_type *p, size_t np, const double *rho, double *zk, double *vrho, double *v2rho2);",471,471,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_exc_vxc_fxc,"void xc_gga_exc_vxc_fxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *zk, double *vrho, double *vsigma, double *v2rho2, double *v2rhosigma, double *v2sigma2);",473,474,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_exc_vxc_fxc,"void xc_mgga_exc_vxc_fxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *zk, double *vrho, double *vsigma, double *vlapl, double *vtau, double *v2rho2, double *v2rhosigma, double *v2rholapl, double *v2rhotau, double *v2sigma2, double *v2sigmalapl, double *v2sigmatau, double *v2lapl2, double *v2lapltau, double *v2tau2);",476,481,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_vxc_fxc,"void xc_lda_vxc_fxc (const xc_func_type *p, size_t np, const double *rho, double *vrho, double *v2rho2);",484,484,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_vxc_fxc,"void xc_gga_vxc_fxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *vrho, double *vsigma, double *v2rho2, double *v2rhosigma, double *v2sigma2);",486,487,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_vxc_fxc,"void xc_mgga_vxc_fxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *vrho, double *vsigma, double *vlapl, double *vtau, double *v2rho2, double *v2rhosigma, double *v2rholapl, double *v2rhotau, double *v2sigma2, double *v2sigmalapl, double *v2sigmatau, double *v2lapl2, double *v2lapltau, double *v2tau2);",489,494,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_fxc,"void xc_lda_fxc (const xc_func_type *p, size_t np, const double *rho, double *v2rho2);",497,497,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_fxc,"void xc_gga_fxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *v2rho2, double *v2rhosigma, double *v2sigma2);",499,500,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_fxc,"void xc_mgga_fxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *v2rho2, double *v2rhosigma, double *v2rholapl, double *v2rhotau, double *v2sigma2, double *v2sigmalapl, double *v2sigmatau, double *v2lapl2, double *v2lapltau, double *v2tau2);",502,506,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_exc_vxc_fxc_kxc,"void xc_lda_exc_vxc_fxc_kxc (const xc_func_type *p, size_t np, const double *rho, double *zk, double *vrho, double *v2rho2, double *v3rho3);",509,509,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_exc_vxc_fxc_kxc,"void xc_gga_exc_vxc_fxc_kxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *zk, double *vrho, double *vsigma, double *v2rho2, double *v2rhosigma, double *v2sigma2, double *v3rho3, double *v3rho2sigma, double *v3rhosigma2, double *v3sigma3);",511,513,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_exc_vxc_fxc_kxc,"void xc_mgga_exc_vxc_fxc_kxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *zk, double *vrho, double *vsigma, double *vlapl, double *vtau, double *v2rho2, double *v2rhosigma, double *v2rholapl, double *v2rhotau, double *v2sigma2, double *v2sigmalapl, double *v2sigmatau, double *v2lapl2, double *v2lapltau, double *v2tau2, double *v3rho3, double *v3rho2sigma, double *v3rho2lapl, double *v3rho2tau, double *v3rhosigma2, double *v3rhosigmalapl, double *v3rhosigmatau, double *v3rholapl2, double *v3rholapltau, double *v3rhotau2, double *v3sigma3, double *v3sigma2lapl, double *v3sigma2tau, double *v3sigmalapl2, double *v3sigmalapltau, double *v3sigmatau2, double *v3lapl3, double *v3lapl2tau, double *v3lapltau2, double *v3tau3);",515,526,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_vxc_fxc_kxc,"void xc_lda_vxc_fxc_kxc (const xc_func_type *p, size_t np, const double *rho, double *vrho, double *v2rho2, double *v3rho3);",529,529,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_vxc_fxc_kxc,"void xc_gga_vxc_fxc_kxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *vrho, double *vsigma, double *v2rho2, double *v2rhosigma, double *v2sigma2, double *v3rho3, double *v3rho2sigma, double *v3rhosigma2, double *v3sigma3);",531,533,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_vxc_fxc_kxc,"void xc_mgga_vxc_fxc_kxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *vrho, double *vsigma, double *vlapl, double *vtau, double *v2rho2, double *v2rhosigma, double *v2rholapl, double *v2rhotau, double *v2sigma2, double *v2sigmalapl, double *v2sigmatau, double *v2lapl2, double *v2lapltau, double *v2tau2, double *v3rho3, double *v3rho2sigma, double *v3rho2lapl, double *v3rho2tau, double *v3rhosigma2, double *v3rhosigmalapl, double *v3rhosigmatau, double *v3rholapl2, double *v3rholapltau, double *v3rhotau2, double *v3sigma3, double *v3sigma2lapl, double *v3sigma2tau, double *v3sigmalapl2, double *v3sigmalapltau, double *v3sigmatau2, double *v3lapl3, double *v3lapl2tau, double *v3lapltau2, double *v3tau3);",535,546,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_kxc,"void xc_lda_kxc (const xc_func_type *p, size_t np, const double *rho, double *v3rho3);",549,549,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_kxc,"void xc_gga_kxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *v3rho3, double *v3rho2sigma, double *v3rhosigma2, double *v3sigma3);",551,552,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_kxc,"void xc_mgga_kxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *v3rho3, double *v3rho2sigma, double *v3rho2lapl, double *v3rho2tau, double *v3rhosigma2, double *v3rhosigmalapl, double *v3rhosigmatau, double *v3rholapl2, double *v3rholapltau, double *v3rhotau2, double *v3sigma3, double *v3sigma2lapl, double *v3sigma2tau, double *v3sigmalapl2, double *v3sigmalapltau, double *v3sigmatau2, double *v3lapl3, double *v3lapl2tau, double *v3lapltau2, double *v3tau3);",554,561,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_lxc,"void xc_lda_lxc (const xc_func_type *p, size_t np, const double *rho, double *v4rho4);",564,564,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_lxc,"void xc_gga_lxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *v4rho4, double *v4rho3sigma, double *v4rho2sigma2, double *v4rhosigma3, double *v4sigma4);",566,568,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_lxc,"void xc_mgga_lxc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *v4rho4, double *v4rho3sigma, double *v4rho3lapl, double *v4rho3tau, double *v4rho2sigma2, double *v4rho2sigmalapl, double *v4rho2sigmatau, double *v4rho2lapl2, double *v4rho2lapltau, double *v4rho2tau2, double *v4rhosigma3, double *v4rhosigma2lapl, double *v4rhosigma2tau, double *v4rhosigmalapl2, double *v4rhosigmalapltau, double *v4rhosigmatau2, double *v4rholapl3, double *v4rholapl2tau, double *v4rholapltau2, double *v4rhotau3, double *v4sigma4, double *v4sigma3lapl, double *v4sigma3tau, double *v4sigma2lapl2, double *v4sigma2lapltau, double *v4sigma2tau2, double *v4sigmalapl3, double *v4sigmalapl2tau, double *v4sigmalapltau2, double *v4sigmatau3, double *v4lapl4, double *v4lapl3tau, double *v4lapl2tau2, double *v4lapltau3, double *v4tau4);",570,580,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
special function,xc_gga_ak13_get_asymptotic,double xc_gga_ak13_get_asymptotic (double homo);,583,583,AK13 特殊計算,special::ak13
special function,xc_gga_ak13_pars_get_asymptotic,"double xc_gga_ak13_pars_get_asymptotic (double homo, const double *ext_params);",585,585,AK13 特殊計算,special::ak13
hybrid/nlc/aux info,xc_hyb_type,int xc_hyb_type(const xc_func_type *p);,588,588,hybrid 情報取得,meta::HybridInfo / meta::AuxiliaryGraph
hybrid/nlc/aux info,xc_hyb_exx_coef,double xc_hyb_exx_coef(const xc_func_type *p);,590,590,hybrid 情報取得,meta::HybridInfo / meta::AuxiliaryGraph
hybrid/nlc/aux info,xc_hyb_cam_coef,"void xc_hyb_cam_coef(const xc_func_type *p, double *omega, double *alpha, double *beta);",592,592,hybrid 情報取得,meta::HybridInfo / meta::AuxiliaryGraph
hybrid/nlc/aux info,xc_nlc_coef,"void xc_nlc_coef(const xc_func_type *p, double *nlc_b, double *nlc_C);",594,594,VV10/NLC 係数取得,meta::HybridInfo / meta::AuxiliaryGraph
hybrid/nlc/aux info,xc_num_aux_funcs,int xc_num_aux_funcs(const xc_func_type *p);,597,597,補助 functional 情報取得,meta::HybridInfo / meta::AuxiliaryGraph
hybrid/nlc/aux info,xc_aux_func_ids,"void xc_aux_func_ids(const xc_func_type *p, int *ids);",599,599,補助 functional 情報取得,meta::HybridInfo / meta::AuxiliaryGraph
hybrid/nlc/aux info,xc_aux_func_weights,"void xc_aux_func_weights(const xc_func_type *p, double *weights);",601,601,補助 functional 情報取得,meta::HybridInfo / meta::AuxiliaryGraph
